in s,C1 in V
-1.200000E-04,-1.60645E+00
-1.199976E-04,-1.55762E+00
-1.199952E-04,-1.55762E+00
-1.199928E-04,-1.59668E+00
-1.199904E-04,-1.59668E+00
-1.199880E-04,-1.56738E+00
-1.199856E-04,-1.57715E+00
-1.199832E-04,-1.57715E+00
-1.199808E-04,-1.57715E+00
-1.199784E-04,-1.57715E+00
-1.199760E-04,-1.55762E+00
-1.199736E-04,-1.57715E+00
-1.199712E-04,-1.55762E+00
-1.199688E-04,-1.56738E+00
-1.199664E-04,-1.53809E+00
-1.199640E-04,-1.57715E+00
-1.199616E-04,-1.57715E+00
-1.199592E-04,-1.56738E+00
-1.199568E-04,-1.55762E+00
-1.199544E-04,-1.59668E+00
-1.199520E-04,-1.58691E+00
-1.199496E-04,-1.53809E+00
-1.199472E-04,-1.55762E+00
-1.199448E-04,-1.58691E+00
-1.199424E-04,-1.58691E+00
-1.199400E-04,-1.55762E+00
-1.199376E-04,-1.60645E+00
-1.199352E-04,-1.57715E+00
-1.199328E-04,-1.59668E+00
-1.199304E-04,-1.57715E+00
-1.199280E-04,-1.58691E+00
-1.199256E-04,-1.58691E+00
-1.199232E-04,-1.57715E+00
-1.199208E-04,-1.57715E+00
-1.199184E-04,-1.57715E+00
-1.199160E-04,-1.57715E+00
-1.199136E-04,-1.55762E+00
-1.199112E-04,-1.58691E+00
-1.199088E-04,-1.60645E+00
-1.199064E-04,-1.56738E+00
-1.199040E-04,-1.57715E+00
-1.199016E-04,-1.60645E+00
-1.198992E-04,-1.57715E+00
-1.198968E-04,-1.57715E+00
-1.198944E-04,-1.57715E+00
-1.198920E-04,-1.53809E+00
-1.198896E-04,-1.56738E+00
-1.198872E-04,-1.60645E+00
-1.198848E-04,-1.57715E+00
-1.198824E-04,-1.58691E+00
-1.198800E-04,-1.54785E+00
-1.198776E-04,-1.58691E+00
-1.198752E-04,-1.55762E+00
-1.198728E-04,-1.60645E+00
-1.198704E-04,-1.59668E+00
-1.198680E-04,-1.57715E+00
-1.198656E-04,-1.55762E+00
-1.198632E-04,-1.56738E+00
-1.198608E-04,-1.57715E+00
-1.198584E-04,-1.58691E+00
-1.198560E-04,-1.58691E+00
-1.198536E-04,-1.56738E+00
-1.198512E-04,-1.57715E+00
-1.198488E-04,-1.57715E+00
-1.198464E-04,-1.58691E+00
-1.198440E-04,-1.56738E+00
-1.198416E-04,-1.56738E+00
-1.198392E-04,-1.58691E+00
-1.198368E-04,-1.56738E+00
-1.198344E-04,-1.57715E+00
-1.198320E-04,-1.55762E+00
-1.198296E-04,-1.56738E+00
-1.198272E-04,-1.60645E+00
-1.198248E-04,-1.57715E+00
-1.198224E-04,-1.58691E+00
-1.198200E-04,-1.56738E+00
-1.198176E-04,-1.58691E+00
-1.198152E-04,-1.57715E+00
-1.198128E-04,-1.57715E+00
-1.198104E-04,-1.56738E+00
-1.198080E-04,-1.60645E+00
-1.198056E-04,-1.57715E+00
-1.198032E-04,-1.55762E+00
-1.198008E-04,-1.57715E+00
-1.197984E-04,-1.60645E+00
-1.197960E-04,-1.56738E+00
-1.197936E-04,-1.58691E+00
-1.197912E-04,-1.57715E+00
-1.197888E-04,-1.57715E+00
-1.197864E-04,-1.57715E+00
-1.197840E-04,-1.56738E+00
-1.197816E-04,-1.54785E+00
-1.197792E-04,-1.56738E+00
-1.197768E-04,-1.57715E+00
-1.197744E-04,-1.55762E+00
-1.197720E-04,-1.58691E+00
-1.197696E-04,-1.56738E+00
-1.197672E-04,-1.57715E+00
-1.197648E-04,-1.59668E+00
-1.197624E-04,-1.57715E+00
-1.197600E-04,-1.55762E+00
-1.197576E-04,-1.58691E+00
-1.197552E-04,-1.57715E+00
-1.197528E-04,-1.57715E+00
-1.197504E-04,-1.57715E+00
-1.197480E-04,-1.56738E+00
-1.197456E-04,-1.58691E+00
-1.197432E-04,-1.56738E+00
-1.197408E-04,-1.57715E+00
-1.197384E-04,-1.57715E+00
-1.197360E-04,-1.57715E+00
-1.197336E-04,-1.58691E+00
-1.197312E-04,-1.57715E+00
-1.197288E-04,-1.57715E+00
-1.197264E-04,-1.56738E+00
-1.197240E-04,-1.58691E+00
-1.197216E-04,-1.57715E+00
-1.197192E-04,-1.54785E+00
-1.197168E-04,-1.57715E+00
-1.197144E-04,-1.56738E+00
-1.197120E-04,-1.57715E+00
-1.197096E-04,-1.54785E+00
-1.197072E-04,-1.57715E+00
-1.197048E-04,-1.58691E+00
-1.197024E-04,-1.56738E+00
-1.197000E-04,-1.57715E+00
-1.196976E-04,-1.56738E+00
-1.196952E-04,-1.56738E+00
-1.196928E-04,-1.55762E+00
-1.196904E-04,-1.55762E+00
-1.196880E-04,-1.55762E+00
-1.196856E-04,-1.58691E+00
-1.196832E-04,-1.57715E+00
-1.196808E-04,-1.57715E+00
-1.196784E-04,-1.55762E+00
-1.196760E-04,-1.58691E+00
-1.196736E-04,-1.56738E+00
-1.196712E-04,-1.54785E+00
-1.196688E-04,-1.56738E+00
-1.196664E-04,-1.57715E+00
-1.196640E-04,-1.56738E+00
-1.196616E-04,-1.57715E+00
-1.196592E-04,-1.56738E+00
-1.196568E-04,-1.57715E+00
-1.196544E-04,-1.55762E+00
-1.196520E-04,-1.58691E+00
-1.196496E-04,-1.53809E+00
-1.196472E-04,-1.57715E+00
-1.196448E-04,-1.54785E+00
-1.196424E-04,-1.57715E+00
-1.196400E-04,-1.56738E+00
-1.196376E-04,-1.55762E+00
-1.196352E-04,-1.57715E+00
-1.196328E-04,-1.57715E+00
-1.196304E-04,-1.55762E+00
-1.196280E-04,-1.57715E+00
-1.196256E-04,-1.54785E+00
-1.196232E-04,-1.55762E+00
-1.196208E-04,-1.55762E+00
-1.196184E-04,-1.56738E+00
-1.196160E-04,-1.54785E+00
-1.196136E-04,-1.57715E+00
-1.196112E-04,-1.54785E+00
-1.196088E-04,-1.56738E+00
-1.196064E-04,-1.58691E+00
-1.196040E-04,-1.55762E+00
-1.196016E-04,-1.52832E+00
-1.195992E-04,-1.59668E+00
-1.195968E-04,-1.57715E+00
-1.195944E-04,-1.59668E+00
-1.195920E-04,-1.56738E+00
-1.195896E-04,-1.56738E+00
-1.195872E-04,-1.56738E+00
-1.195848E-04,-1.57715E+00
-1.195824E-04,-1.53809E+00
-1.195800E-04,-1.56738E+00
-1.195776E-04,-1.57715E+00
-1.195752E-04,-1.56738E+00
-1.195728E-04,-1.58691E+00
-1.195704E-04,-1.56738E+00
-1.195680E-04,-1.54785E+00
-1.195656E-04,-1.52832E+00
-1.195632E-04,-1.53809E+00
-1.195608E-04,-1.53809E+00
-1.195584E-04,-1.57715E+00
-1.195560E-04,-1.57715E+00
-1.195536E-04,-1.56738E+00
-1.195512E-04,-1.54785E+00
-1.195488E-04,-1.58691E+00
-1.195464E-04,-1.56738E+00
-1.195440E-04,-1.54785E+00
-1.195416E-04,-1.56738E+00
-1.195392E-04,-1.54785E+00
-1.195368E-04,-1.53809E+00
-1.195344E-04,-1.55762E+00
-1.195320E-04,-1.57715E+00
-1.195296E-04,-1.54785E+00
-1.195272E-04,-1.57715E+00
-1.195248E-04,-1.60645E+00
-1.195224E-04,-1.53809E+00
-1.195200E-04,-1.56738E+00
-1.195176E-04,-1.54785E+00
-1.195152E-04,-1.54785E+00
-1.195128E-04,-1.55762E+00
-1.195104E-04,-1.56738E+00
-1.195080E-04,-1.56738E+00
-1.195056E-04,-1.57715E+00
-1.195032E-04,-1.55762E+00
-1.195008E-04,-1.56738E+00
-1.194984E-04,-1.58691E+00
-1.194960E-04,-1.53809E+00
-1.194936E-04,-1.55762E+00
-1.194912E-04,-1.56738E+00
-1.194888E-04,-1.53809E+00
-1.194864E-04,-1.56738E+00
-1.194840E-04,-1.56738E+00
-1.194816E-04,-1.54785E+00
-1.194792E-04,-1.56738E+00
-1.194768E-04,-1.54785E+00
-1.194744E-04,-1.53809E+00
-1.194720E-04,-1.57715E+00
-1.194696E-04,-1.54785E+00
-1.194672E-04,-1.58691E+00
-1.194648E-04,-1.55762E+00
-1.194624E-04,-1.54785E+00
-1.194600E-04,-1.56738E+00
-1.194576E-04,-1.52832E+00
-1.194552E-04,-1.54785E+00
-1.194528E-04,-1.55762E+00
-1.194504E-04,-1.57715E+00
-1.194480E-04,-1.59668E+00
-1.194456E-04,-1.56738E+00
-1.194432E-04,-1.55762E+00
-1.194408E-04,-1.56738E+00
-1.194384E-04,-1.54785E+00
-1.194360E-04,-1.59668E+00
-1.194336E-04,-1.56738E+00
-1.194312E-04,-1.53809E+00
-1.194288E-04,-1.56738E+00
-1.194264E-04,-1.59668E+00
-1.194240E-04,-1.56738E+00
-1.194216E-04,-1.55762E+00
-1.194192E-04,-1.56738E+00
-1.194168E-04,-1.56738E+00
-1.194144E-04,-1.57715E+00
-1.194120E-04,-1.53809E+00
