in s,C3 in V
-5.0598694E+00,2.27051E+00
-5.0598271E+00,2.41699E+00
-5.0597848E+00,2.31934E+00
-5.0597425E+00,2.36816E+00
-5.0597002E+00,2.27051E+00
-5.0596580E+00,2.22168E+00
-5.0596157E+00,2.22168E+00
-5.0595734E+00,2.27051E+00
-5.0595311E+00,2.31934E+00
-5.0594888E+00,2.22168E+00
-5.0594466E+00,2.22168E+00
-5.0594043E+00,2.17285E+00
-5.0593620E+00,2.31934E+00
-5.0593197E+00,2.17285E+00
-5.0592774E+00,2.27051E+00
-5.0592352E+00,2.31934E+00
-5.0591929E+00,2.12402E+00
-5.0591506E+00,2.22168E+00
-5.0591083E+00,2.31934E+00
-5.0590660E+00,2.12402E+00
-5.0590238E+00,2.31934E+00
-5.0589815E+00,2.27051E+00
-5.0589392E+00,2.31934E+00
-5.0588969E+00,2.17285E+00
-5.0588546E+00,2.12402E+00
-5.0588124E+00,2.27051E+00
-5.0587701E+00,2.27051E+00
-5.0587278E+00,2.27051E+00
-5.0586855E+00,2.22168E+00
-5.0586432E+00,2.07520E+00
-5.0586010E+00,2.22168E+00
-5.0585587E+00,2.17285E+00
-5.0585164E+00,2.31934E+00
-5.0584741E+00,2.22168E+00
-5.0584318E+00,2.17285E+00
-5.0583896E+00,2.17285E+00
-5.0583473E+00,2.27051E+00
-5.0583050E+00,2.22168E+00
-5.0582627E+00,2.12402E+00
-5.0582204E+00,2.27051E+00
-5.0581782E+00,2.17285E+00
-5.0581359E+00,2.22168E+00
-5.0580936E+00,2.22168E+00
-5.0580513E+00,2.17285E+00
-5.0580090E+00,2.27051E+00
-5.0579668E+00,2.17285E+00
-5.0579245E+00,2.17285E+00
-5.0578822E+00,2.22168E+00
-5.0578399E+00,2.07520E+00
-5.0577976E+00,2.22168E+00
-5.0577554E+00,2.22168E+00
-5.0577131E+00,2.02637E+00
-5.0576708E+00,2.12402E+00
-5.0576285E+00,2.02637E+00
-5.0575862E+00,2.17285E+00
-5.0575440E+00,2.27051E+00
-5.0575017E+00,2.02637E+00
-5.0574594E+00,2.31934E+00
-5.0574171E+00,2.12402E+00
-5.0573748E+00,2.27051E+00
-5.0573326E+00,2.31934E+00
-5.0572903E+00,2.31934E+00
-5.0572480E+00,2.31934E+00
-5.0572057E+00,2.17285E+00
-5.0571634E+00,2.31934E+00
-5.0571212E+00,2.27051E+00
-5.0570789E+00,2.56348E+00
-5.0570366E+00,2.41699E+00
-5.0569943E+00,2.36816E+00
-5.0569520E+00,2.27051E+00
-5.0569098E+00,2.31934E+00
-5.0568675E+00,2.22168E+00
-5.0568252E+00,2.41699E+00
-5.0567829E+00,2.12402E+00
-5.0567406E+00,2.36816E+00
-5.0566984E+00,2.27051E+00
-5.0566561E+00,2.31934E+00
-5.0566138E+00,2.31934E+00
-5.0565715E+00,2.31934E+00
-5.0565292E+00,2.36816E+00
-5.0564870E+00,2.41699E+00
-5.0564447E+00,2.36816E+00
-5.0564024E+00,2.46582E+00
-5.0563601E+00,2.27051E+00
-5.0563178E+00,2.27051E+00
-5.0562756E+00,2.31934E+00
-5.0562333E+00,2.17285E+00
-5.0561910E+00,2.31934E+00
-5.0561487E+00,2.31934E+00
-5.0561064E+00,2.27051E+00
-5.0560642E+00,2.41699E+00
-5.0560219E+00,2.46582E+00
-5.0559796E+00,2.27051E+00
-5.0559373E+00,2.36816E+00
-5.0558950E+00,2.27051E+00
-5.0558528E+00,2.31934E+00
-5.0558105E+00,2.51465E+00
-5.0557682E+00,2.27051E+00
-5.0557259E+00,2.46582E+00
-5.0556836E+00,2.27051E+00
-5.0556414E+00,2.41699E+00
-5.0555991E+00,2.36816E+00
-5.0555568E+00,2.27051E+00
-5.0555145E+00,2.27051E+00
-5.0554722E+00,2.36816E+00
-5.0554300E+00,2.31934E+00
-5.0553877E+00,2.31934E+00
-5.0553454E+00,2.31934E+00
-5.0553031E+00,2.27051E+00
-5.0552608E+00,2.36816E+00
-5.0552186E+00,2.17285E+00
-5.0551763E+00,2.17285E+00
-5.0551340E+00,2.31934E+00
-5.0550917E+00,2.22168E+00
-5.0550494E+00,2.36816E+00
-5.0550072E+00,2.27051E+00
-5.0549649E+00,2.36816E+00
-5.0549226E+00,2.17285E+00
-5.0548803E+00,2.07520E+00
-5.0548380E+00,2.27051E+00
-5.0547958E+00,2.22168E+00
-5.0547535E+00,2.27051E+00
-5.0547112E+00,2.36816E+00
-5.0546689E+00,2.22168E+00
-5.0546266E+00,2.27051E+00
-5.0545844E+00,2.31934E+00
-5.0545421E+00,2.31934E+00
-5.0544998E+00,2.17285E+00
-5.0544575E+00,2.22168E+00
-5.0544152E+00,2.22168E+00
