in s,C2 in V
-1.3199680E-03,7.69043E+00
-1.3199472E-03,7.64160E+00
-1.3199264E-03,7.78809E+00
-1.3199056E-03,7.83691E+00
-1.3198848E-03,7.54395E+00
-1.3198640E-03,7.64160E+00
-1.3198432E-03,7.73926E+00
-1.3198224E-03,7.83691E+00
-1.3198016E-03,7.64160E+00
-1.3197808E-03,7.64160E+00
-1.3197600E-03,7.69043E+00
-1.3197392E-03,7.78809E+00
-1.3197184E-03,7.88574E+00
-1.3196976E-03,7.59277E+00
-1.3196768E-03,7.69043E+00
-1.3196560E-03,7.83691E+00
-1.3196352E-03,7.78809E+00
-1.3196144E-03,7.83691E+00
-1.3195936E-03,7.78809E+00
-1.3195728E-03,7.69043E+00
-1.3195520E-03,7.64160E+00
-1.3195312E-03,7.73926E+00
-1.3195104E-03,7.73926E+00
-1.3194896E-03,7.69043E+00
-1.3194688E-03,7.69043E+00
-1.3194480E-03,7.59277E+00
-1.3194272E-03,7.73926E+00
-1.3194064E-03,7.78809E+00
-1.3193856E-03,7.54395E+00
-1.3193648E-03,7.69043E+00
-1.3193440E-03,7.78809E+00
-1.3193232E-03,7.88574E+00
-1.3193024E-03,7.64160E+00
-1.3192816E-03,7.59277E+00
-1.3192608E-03,7.83691E+00
-1.3192400E-03,7.83691E+00
-1.3192192E-03,7.73926E+00
-1.3191984E-03,7.64160E+00
-1.3191776E-03,7.83691E+00
-1.3191568E-03,7.69043E+00
-1.3191360E-03,7.83691E+00
-1.3191152E-03,7.69043E+00
-1.3190944E-03,7.69043E+00
-1.3190736E-03,7.69043E+00
-1.3190528E-03,7.78809E+00
-1.3190320E-03,7.64160E+00
-1.3190112E-03,7.78809E+00
-1.3189904E-03,7.78809E+00
-1.3189696E-03,7.83691E+00
-1.3189488E-03,7.78809E+00
-1.3189280E-03,7.64160E+00
-1.3189072E-03,7.69043E+00
-1.3188864E-03,7.93457E+00
-1.3188656E-03,7.73926E+00
-1.3188448E-03,7.64160E+00
-1.3188240E-03,7.69043E+00
-1.3188032E-03,7.78809E+00
-1.3187824E-03,7.64160E+00
-1.3187616E-03,7.69043E+00
-1.3187408E-03,7.88574E+00
-1.3187200E-03,7.73926E+00
-1.3186992E-03,7.64160E+00
-1.3186784E-03,7.78809E+00
-1.3186576E-03,7.54395E+00
-1.3186368E-03,7.54395E+00
-1.3186160E-03,7.59277E+00
-1.3185952E-03,7.83691E+00
-1.3185744E-03,7.78809E+00
-1.3185536E-03,7.78809E+00
-1.3185328E-03,7.73926E+00
-1.3185120E-03,7.73926E+00
-1.3184912E-03,7.69043E+00
-1.3184704E-03,7.78809E+00
-1.3184496E-03,7.69043E+00
-1.3184288E-03,7.73926E+00
-1.3184080E-03,7.73926E+00
-1.3183872E-03,7.54395E+00
-1.3183664E-03,7.78809E+00
-1.3183456E-03,7.73926E+00
-1.3183248E-03,7.69043E+00
