in s,C2 in V
-1.9994328E-01,9.47266E-01
-1.9992480E-01,1.02539E+00
-1.9990632E-01,1.00586E+00
-1.9988784E-01,9.86328E-01
-1.9986936E-01,9.47266E-01
-1.9985088E-01,1.02539E+00
-1.9983240E-01,9.86328E-01
-1.9981392E-01,1.00586E+00
-1.9979544E-01,1.00586E+00
-1.9977696E-01,9.47266E-01
-1.9975848E-01,9.66797E-01
-1.9974000E-01,9.66797E-01
-1.9972152E-01,9.86328E-01
-1.9970304E-01,9.86328E-01
-1.9968456E-01,9.86328E-01
-1.9966608E-01,9.86328E-01
-1.9964760E-01,1.00586E+00
-1.9962912E-01,1.04492E+00
-1.9961064E-01,9.47266E-01
-1.9959216E-01,9.86328E-01
-1.9957368E-01,9.47266E-01
-1.9955520E-01,9.86328E-01
-1.9953672E-01,9.47266E-01
-1.9951824E-01,1.00586E+00
-1.9949976E-01,9.47266E-01
-1.9948128E-01,1.04492E+00
-1.9946280E-01,9.47266E-01
-1.9944432E-01,1.02539E+00
-1.9942584E-01,1.00586E+00
-1.9940736E-01,1.04492E+00
-1.9938888E-01,9.66797E-01
-1.9937040E-01,1.00586E+00
-1.9935192E-01,9.47266E-01
-1.9933344E-01,9.86328E-01
-1.9931496E-01,9.47266E-01
-1.9929648E-01,1.04492E+00
-1.9927800E-01,9.86328E-01
-1.9925952E-01,1.04492E+00
-1.9924104E-01,9.86328E-01
-1.9922256E-01,9.47266E-01
-1.9920408E-01,9.86328E-01
-1.9918560E-01,9.86328E-01
-1.9916712E-01,9.86328E-01
-1.9914864E-01,9.47266E-01
-1.9913016E-01,1.04492E+00
-1.9911168E-01,9.66797E-01
-1.9909320E-01,1.00586E+00
-1.9907472E-01,9.47266E-01
-1.9905624E-01,1.00586E+00
-1.9903776E-01,8.88672E-01
-1.9901928E-01,1.00586E+00
-1.9900080E-01,1.02539E+00
-1.9898232E-01,9.66797E-01
-1.9896384E-01,9.66797E-01
-1.9894536E-01,9.66797E-01
-1.9892688E-01,9.86328E-01
-1.9890840E-01,9.66797E-01
