in s,C1 in V
-1.9994328E+00,-1.76758E+00
-1.9992480E+00,-1.72852E+00
-1.9990632E+00,-1.78711E+00
-1.9988784E+00,-1.80664E+00
-1.9986936E+00,-1.76758E+00
-1.9985088E+00,-1.76758E+00
-1.9983240E+00,-1.78711E+00
-1.9981392E+00,-1.82617E+00
-1.9979544E+00,-1.80664E+00
-1.9977696E+00,-1.82617E+00
-1.9975848E+00,-1.76758E+00
-1.9974000E+00,-1.74805E+00
-1.9972152E+00,-1.78711E+00
-1.9970304E+00,-1.74805E+00
-1.9968456E+00,-1.78711E+00
-1.9966608E+00,-1.78711E+00
-1.9964760E+00,-1.78711E+00
-1.9962912E+00,-1.78711E+00
-1.9961064E+00,-1.80664E+00
-1.9959216E+00,-1.74805E+00
-1.9957368E+00,-1.74805E+00
-1.9955520E+00,-1.72852E+00
-1.9953672E+00,-1.84570E+00
-1.9951824E+00,-1.72852E+00
-1.9949976E+00,-1.70898E+00
-1.9948128E+00,-1.76758E+00
-1.9946280E+00,-1.78711E+00
-1.9944432E+00,-1.72852E+00
-1.9942584E+00,-1.74805E+00
-1.9940736E+00,-1.72852E+00
-1.9938888E+00,-1.76758E+00
-1.9937040E+00,-1.76758E+00
-1.9935192E+00,-1.76758E+00
-1.9933344E+00,-1.78711E+00
-1.9931496E+00,-1.78711E+00
-1.9929648E+00,-1.78711E+00
-1.9927800E+00,-1.72852E+00
-1.9925952E+00,-1.76758E+00
-1.9924104E+00,-1.76758E+00
-1.9922256E+00,-1.72852E+00
-1.9920408E+00,-1.82617E+00
-1.9918560E+00,-1.84570E+00
-1.9916712E+00,-1.78711E+00
-1.9914864E+00,-1.78711E+00
-1.9913016E+00,-1.74805E+00
-1.9911168E+00,-1.78711E+00
-1.9909320E+00,-1.82617E+00
-1.9907472E+00,-1.78711E+00
-1.9905624E+00,-1.70898E+00
-1.9903776E+00,-1.78711E+00
-1.9901928E+00,-1.72852E+00
-1.9900080E+00,-1.74805E+00
-1.9898232E+00,-1.76758E+00
-1.9896384E+00,-1.70898E+00
-1.9894536E+00,-1.74805E+00
-1.9892688E+00,-1.76758E+00
-1.9890840E+00,-1.82617E+00
-1.9888992E+00,-1.74805E+00
-1.9887144E+00,-1.78711E+00
-1.9885296E+00,-1.72852E+00
-1.9883448E+00,-1.74805E+00
-1.9881600E+00,-1.74805E+00
-1.9879752E+00,-1.78711E+00
-1.9877904E+00,-1.72852E+00
-1.9876056E+00,-1.74805E+00
-1.9874208E+00,-1.80664E+00
-1.9872360E+00,-1.72852E+00
-1.9870512E+00,-1.76758E+00
-1.9868664E+00,-1.78711E+00
-1.9866816E+00,-1.74805E+00
-1.9864968E+00,-1.76758E+00
-1.9863120E+00,-1.74805E+00
-1.9861272E+00,-1.76758E+00
-1.9859424E+00,-1.70898E+00
-1.9857576E+00,-1.76758E+00
-1.9855728E+00,-1.70898E+00
-1.9853880E+00,-1.76758E+00
-1.9852032E+00,-1.70898E+00
-1.9850184E+00,-1.78711E+00
-1.9848336E+00,-1.70898E+00
-1.9846488E+00,-1.78711E+00
-1.9844640E+00,-1.72852E+00
-1.9842792E+00,-1.70898E+00
-1.9840944E+00,-1.76758E+00
-1.9839096E+00,-1.72852E+00
-1.9837248E+00,-1.72852E+00
-1.9835400E+00,-1.78711E+00
-1.9833552E+00,-1.78711E+00
-1.9831704E+00,-1.76758E+00
-1.9829856E+00,-1.78711E+00
-1.9828008E+00,-1.65039E+00
-1.9826160E+00,-1.80664E+00
-1.9824312E+00,-1.72852E+00
-1.9822464E+00,-1.74805E+00
-1.9820616E+00,-1.72852E+00
-1.9818768E+00,-1.74805E+00
-1.9816920E+00,-1.72852E+00
-1.9815072E+00,-1.76758E+00
-1.9813224E+00,-1.76758E+00
-1.9811376E+00,-1.70898E+00
-1.9809528E+00,-1.72852E+00
-1.9807680E+00,-1.66992E+00
-1.9805832E+00,-1.72852E+00
-1.9803984E+00,-1.70898E+00
-1.9802136E+00,-1.72852E+00
-1.9800288E+00,-1.72852E+00
-1.9798440E+00,-1.66992E+00
-1.9796592E+00,-1.74805E+00
-1.9794744E+00,-1.70898E+00
-1.9792896E+00,-1.78711E+00
-1.9791048E+00,-1.72852E+00
-1.9789200E+00,-1.72852E+00
-1.9787352E+00,-1.70898E+00
-1.9785504E+00,-1.72852E+00
-1.9783656E+00,-1.80664E+00
-1.9781808E+00,-1.70898E+00
-1.9779960E+00,-1.76758E+00
-1.9778112E+00,-1.70898E+00
-1.9776264E+00,-1.65039E+00
-1.9774416E+00,-1.74805E+00
-1.9772568E+00,-1.78711E+00
-1.9770720E+00,-1.72852E+00
-1.9768872E+00,-1.74805E+00
-1.9767024E+00,-1.70898E+00
-1.9765176E+00,-1.80664E+00
-1.9763328E+00,-1.66992E+00
-1.9761480E+00,-1.70898E+00
-1.9759632E+00,-1.72852E+00
-1.9757784E+00,-1.72852E+00
-1.9755936E+00,-1.66992E+00
-1.9754088E+00,-1.72852E+00
-1.9752240E+00,-1.76758E+00
-1.9750392E+00,-1.68945E+00
-1.9748544E+00,-1.66992E+00
-1.9746696E+00,-1.78711E+00
-1.9744848E+00,-1.68945E+00
-1.9743000E+00,-1.72852E+00
-1.9741152E+00,-1.72852E+00
-1.9739304E+00,-1.68945E+00
-1.9737456E+00,-1.76758E+00
-1.9735608E+00,-1.74805E+00
-1.9733760E+00,-1.68945E+00
-1.9731912E+00,-1.65039E+00
-1.9730064E+00,-1.72852E+00
-1.9728216E+00,-1.66992E+00
-1.9726368E+00,-1.78711E+00
-1.9724520E+00,-1.76758E+00
-1.9722672E+00,-1.74805E+00
-1.9720824E+00,-1.70898E+00
-1.9718976E+00,-1.65039E+00
-1.9717128E+00,-1.74805E+00
-1.9715280E+00,-1.70898E+00
-1.9713432E+00,-1.72852E+00
-1.9711584E+00,-1.74805E+00
-1.9709736E+00,-1.72852E+00
-1.9707888E+00,-1.70898E+00
-1.9706040E+00,-1.72852E+00
-1.9704192E+00,-1.70898E+00
-1.9702344E+00,-1.72852E+00
-1.9700496E+00,-1.72852E+00
-1.9698648E+00,-1.74805E+00
-1.9696800E+00,-1.68945E+00
-1.9694952E+00,-1.70898E+00
-1.9693104E+00,-1.66992E+00
-1.9691256E+00,-1.65039E+00
-1.9689408E+00,-1.68945E+00
-1.9687560E+00,-1.70898E+00
-1.9685712E+00,-1.65039E+00
-1.9683864E+00,-1.65039E+00
-1.9682016E+00,-1.61133E+00
-1.9680168E+00,-1.66992E+00
-1.9678320E+00,-1.68945E+00
-1.9676472E+00,-1.70898E+00
-1.9674624E+00,-1.65039E+00
-1.9672776E+00,-1.65039E+00
-1.9670928E+00,-1.65039E+00
-1.9669080E+00,-1.66992E+00
-1.9667232E+00,-1.70898E+00
-1.9665384E+00,-1.68945E+00
-1.9663536E+00,-1.68945E+00
-1.9661688E+00,-1.68945E+00
-1.9659840E+00,-1.70898E+00
-1.9657992E+00,-1.65039E+00
-1.9656144E+00,-1.66992E+00
-1.9654296E+00,-1.65039E+00
-1.9652448E+00,-1.68945E+00
-1.9650600E+00,-1.76758E+00
-1.9648752E+00,-1.65039E+00
-1.9646904E+00,-1.66992E+00
-1.9645056E+00,-1.65039E+00
-1.9643208E+00,-1.72852E+00
-1.9641360E+00,-1.70898E+00
-1.9639512E+00,-1.70898E+00
-1.9637664E+00,-1.72852E+00
-1.9635816E+00,-1.70898E+00
-1.9633968E+00,-1.70898E+00
-1.9632120E+00,-1.68945E+00
-1.9630272E+00,-1.66992E+00
-1.9628424E+00,-1.66992E+00
-1.9626576E+00,-1.70898E+00
-1.9624728E+00,-1.72852E+00
-1.9622880E+00,-1.68945E+00
-1.9621032E+00,-1.66992E+00
-1.9619184E+00,-1.70898E+00
-1.9617336E+00,-1.63086E+00
-1.9615488E+00,-1.66992E+00
-1.9613640E+00,-1.72852E+00
-1.9611792E+00,-1.70898E+00
-1.9609944E+00,-1.72852E+00
-1.9608096E+00,-1.74805E+00
-1.9606248E+00,-1.70898E+00
-1.9604400E+00,-1.68945E+00
-1.9602552E+00,-1.70898E+00
-1.9600704E+00,-1.70898E+00
-1.9598856E+00,-1.66992E+00
-1.9597008E+00,-1.74805E+00
-1.9595160E+00,-1.68945E+00
-1.9593312E+00,-1.66992E+00
-1.9591464E+00,-1.70898E+00
-1.9589616E+00,-1.66992E+00
-1.9587768E+00,-1.70898E+00
-1.9585920E+00,-1.68945E+00
-1.9584072E+00,-1.76758E+00
-1.9582224E+00,-1.68945E+00
-1.9580376E+00,-1.66992E+00
-1.9578528E+00,-1.70898E+00
-1.9576680E+00,-1.80664E+00
-1.9574832E+00,-1.66992E+00
-1.9572984E+00,-1.70898E+00
-1.9571136E+00,-1.70898E+00
-1.9569288E+00,-1.72852E+00
-1.9567440E+00,-1.70898E+00
-1.9565592E+00,-1.65039E+00
-1.9563744E+00,-1.74805E+00
-1.9561896E+00,-1.70898E+00
-1.9560048E+00,-1.70898E+00
-1.9558200E+00,-1.68945E+00
-1.9556352E+00,-1.68945E+00
-1.9554504E+00,-1.70898E+00
-1.9552656E+00,-1.74805E+00
-1.9550808E+00,-1.65039E+00
-1.9548960E+00,-1.66992E+00
-1.9547112E+00,-1.70898E+00
-1.9545264E+00,-1.70898E+00
-1.9543416E+00,-1.66992E+00
-1.9541568E+00,-1.66992E+00
-1.9539720E+00,-1.65039E+00
-1.9537872E+00,-1.74805E+00
-1.9536024E+00,-1.68945E+00
-1.9534176E+00,-1.66992E+00
-1.9532328E+00,-1.65039E+00
-1.9530480E+00,-1.65039E+00
-1.9528632E+00,-1.72852E+00
-1.9526784E+00,-1.68945E+00
-1.9524936E+00,-1.65039E+00
-1.9523088E+00,-1.66992E+00
-1.9521240E+00,-1.68945E+00
-1.9519392E+00,-1.66992E+00
-1.9517544E+00,-1.68945E+00
-1.9515696E+00,-1.70898E+00
-1.9513848E+00,-1.68945E+00
-1.9512000E+00,-1.78711E+00
-1.9510152E+00,-1.65039E+00
-1.9508304E+00,-1.70898E+00
-1.9506456E+00,-1.72852E+00
-1.9504608E+00,-1.76758E+00
-1.9502760E+00,-1.70898E+00
-1.9500912E+00,-1.72852E+00
-1.9499064E+00,-1.72852E+00
-1.9497216E+00,-1.66992E+00
-1.9495368E+00,-1.70898E+00
-1.9493520E+00,-1.68945E+00
-1.9491672E+00,-1.72852E+00
-1.9489824E+00,-1.70898E+00
-1.9487976E+00,-1.65039E+00
-1.9486128E+00,-1.70898E+00
-1.9484280E+00,-1.68945E+00
-1.9482432E+00,-1.65039E+00
-1.9480584E+00,-1.66992E+00
-1.9478736E+00,-1.63086E+00
-1.9476888E+00,-1.65039E+00
-1.9475040E+00,-1.66992E+00
-1.9473192E+00,-1.65039E+00
-1.9471344E+00,-1.68945E+00
-1.9469496E+00,-1.65039E+00
-1.9467648E+00,-1.66992E+00
-1.9465800E+00,-1.65039E+00
-1.9463952E+00,-1.66992E+00
-1.9462104E+00,-1.65039E+00
-1.9460256E+00,-1.66992E+00
-1.9458408E+00,-1.72852E+00
-1.9456560E+00,-1.65039E+00
-1.9454712E+00,-1.66992E+00
-1.9452864E+00,-1.72852E+00
-1.9451016E+00,-1.65039E+00
-1.9449168E+00,-1.66992E+00
