in s,C2 in V
-9.99716400E-01,1.88477E+00
-9.99624000E-01,1.82617E+00
-9.99531600E-01,1.84570E+00
-9.99439200E-01,1.88477E+00
-9.99346800E-01,1.86523E+00
-9.99254400E-01,1.88477E+00
-9.99162000E-01,1.86523E+00
-9.99069600E-01,1.86523E+00
-9.98977200E-01,1.86523E+00
-9.98884800E-01,1.92383E+00
-9.98792400E-01,1.82617E+00
-9.98700000E-01,1.86523E+00
-9.98607600E-01,1.86523E+00
-9.98515200E-01,1.88477E+00
-9.98422800E-01,1.84570E+00
-9.98330400E-01,1.88477E+00
-9.98238000E-01,1.86523E+00
-9.98145600E-01,1.88477E+00
-9.98053200E-01,1.88477E+00
-9.97960800E-01,1.82617E+00
-9.97868400E-01,1.92383E+00
-9.97776000E-01,1.82617E+00
-9.97683600E-01,1.84570E+00
-9.97591200E-01,1.88477E+00
-9.97498800E-01,1.88477E+00
-9.97406400E-01,1.90430E+00
-9.97314000E-01,1.84570E+00
-9.97221600E-01,1.88477E+00
-9.97129200E-01,1.86523E+00
-9.97036800E-01,1.98242E+00
-9.96944400E-01,1.90430E+00
-9.96852000E-01,1.88477E+00
-9.96759600E-01,1.84570E+00
-9.96667200E-01,1.90430E+00
-9.96574800E-01,1.94336E+00
-9.96482400E-01,1.82617E+00
-9.96390000E-01,1.88477E+00
-9.96297600E-01,1.88477E+00
-9.96205200E-01,1.86523E+00
-9.96112800E-01,1.82617E+00
-9.96020400E-01,1.86523E+00
-9.95928000E-01,1.92383E+00
-9.95835600E-01,1.88477E+00
-9.95743200E-01,1.92383E+00
-9.95650800E-01,1.86523E+00
-9.95558400E-01,1.92383E+00
-9.95466000E-01,1.86523E+00
-9.95373600E-01,1.86523E+00
-9.95281200E-01,1.88477E+00
-9.95188800E-01,1.88477E+00
-9.95096400E-01,1.82617E+00
-9.95004000E-01,1.86523E+00
-9.94911600E-01,1.84570E+00
-9.94819200E-01,1.86523E+00
-9.94726800E-01,1.84570E+00
-9.94634400E-01,1.90430E+00
-9.94542000E-01,1.82617E+00
-9.94449600E-01,1.90430E+00
-9.94357200E-01,1.90430E+00
-9.94264800E-01,1.94336E+00
-9.94172400E-01,1.94336E+00
-9.94080000E-01,1.90430E+00
-9.93987600E-01,1.92383E+00
-9.93895200E-01,1.84570E+00
-9.93802800E-01,1.84570E+00
-9.93710400E-01,1.94336E+00
-9.93618000E-01,1.86523E+00
-9.93525600E-01,1.84570E+00
-9.93433200E-01,1.82617E+00
-9.93340800E-01,1.86523E+00
-9.93248400E-01,1.88477E+00
-9.93156000E-01,1.84570E+00
-9.93063600E-01,1.90430E+00
-9.92971200E-01,1.92383E+00
-9.92878800E-01,1.80664E+00
-9.92786400E-01,1.84570E+00
-9.92694000E-01,1.86523E+00
-9.92601600E-01,1.90430E+00
-9.92509200E-01,1.86523E+00
-9.92416800E-01,1.90430E+00
-9.92324400E-01,1.88477E+00
-9.92232000E-01,1.82617E+00
-9.92139600E-01,1.92383E+00
-9.92047200E-01,1.88477E+00
-9.91954800E-01,1.86523E+00
-9.91862400E-01,1.80664E+00
-9.91770000E-01,1.86523E+00
-9.91677600E-01,1.82617E+00
-9.91585200E-01,1.82617E+00
-9.91492800E-01,1.86523E+00
-9.91400400E-01,1.92383E+00
-9.91308000E-01,1.88477E+00
-9.91215600E-01,1.82617E+00
-9.91123200E-01,1.90430E+00
-9.91030800E-01,1.86523E+00
-9.90938400E-01,1.86523E+00
-9.90846000E-01,1.84570E+00
-9.90753600E-01,1.80664E+00
-9.90661200E-01,1.86523E+00
-9.90568800E-01,1.84570E+00
-9.90476400E-01,1.84570E+00
-9.90384000E-01,1.86523E+00
-9.90291600E-01,1.86523E+00
-9.90199200E-01,1.84570E+00
-9.90106800E-01,1.88477E+00
-9.90014400E-01,1.94336E+00
-9.89922000E-01,1.88477E+00
-9.89829600E-01,1.90430E+00
-9.89737200E-01,1.88477E+00
-9.89644800E-01,1.88477E+00
-9.89552400E-01,1.90430E+00
-9.89460000E-01,1.86523E+00
-9.89367600E-01,1.86523E+00
-9.89275200E-01,1.88477E+00
-9.89182800E-01,1.82617E+00
-9.89090400E-01,1.96289E+00
-9.88998000E-01,1.88477E+00
-9.88905600E-01,1.86523E+00
-9.88813200E-01,1.90430E+00
-9.88720800E-01,1.92383E+00
-9.88628400E-01,1.96289E+00
-9.88536000E-01,1.90430E+00
-9.88443600E-01,1.82617E+00
-9.88351200E-01,1.88477E+00
-9.88258800E-01,1.82617E+00
-9.88166400E-01,1.88477E+00
-9.88074000E-01,1.88477E+00
-9.87981600E-01,1.88477E+00
