in s,C1 in V
-9.99716400E-02,-1.18164E+00
-9.99624000E-02,-1.24023E+00
-9.99531600E-02,-1.20117E+00
-9.99439200E-02,-1.20117E+00
-9.99346800E-02,-1.24023E+00
-9.99254400E-02,-1.16211E+00
-9.99162000E-02,-1.16211E+00
-9.99069600E-02,-1.20117E+00
-9.98977200E-02,-1.18164E+00
-9.98884800E-02,-1.16211E+00
-9.98792400E-02,-1.22070E+00
-9.98700000E-02,-1.20117E+00
-9.98607600E-02,-1.20117E+00
-9.98515200E-02,-1.18164E+00
-9.98422800E-02,-1.22070E+00
-9.98330400E-02,-1.16211E+00
-9.98238000E-02,-1.16211E+00
-9.98145600E-02,-1.18164E+00
-9.98053200E-02,-1.25977E+00
-9.97960800E-02,-1.16211E+00
-9.97868400E-02,-1.20117E+00
-9.97776000E-02,-1.16211E+00
-9.97683600E-02,-1.25977E+00
-9.97591200E-02,-1.22070E+00
-9.97498800E-02,-1.20117E+00
-9.97406400E-02,-1.16211E+00
-9.97314000E-02,-1.22070E+00
-9.97221600E-02,-1.16211E+00
-9.97129200E-02,-1.20117E+00
-9.97036800E-02,-1.14258E+00
-9.96944400E-02,-1.20117E+00
-9.96852000E-02,-1.16211E+00
-9.96759600E-02,-1.14258E+00
-9.96667200E-02,-1.16211E+00
-9.96574800E-02,-1.22070E+00
-9.96482400E-02,-1.22070E+00
-9.96390000E-02,-1.22070E+00
-9.96297600E-02,-1.14258E+00
-9.96205200E-02,-1.16211E+00
-9.96112800E-02,-1.14258E+00
-9.96020400E-02,-1.22070E+00
-9.95928000E-02,-1.20117E+00
-9.95835600E-02,-1.14258E+00
-9.95743200E-02,-1.24023E+00
-9.95650800E-02,-1.20117E+00
-9.95558400E-02,-1.14258E+00
-9.95466000E-02,-1.20117E+00
-9.95373600E-02,-1.14258E+00
-9.95281200E-02,-1.18164E+00
-9.95188800E-02,-1.20117E+00
-9.95096400E-02,-1.22070E+00
-9.95004000E-02,-1.18164E+00
-9.94911600E-02,-1.12305E+00
-9.94819200E-02,-1.20117E+00
-9.94726800E-02,-1.20117E+00
-9.94634400E-02,-1.22070E+00
-9.94542000E-02,-1.22070E+00
-9.94449600E-02,-1.18164E+00
-9.94357200E-02,-1.18164E+00
-9.94264800E-02,-1.16211E+00
-9.94172400E-02,-1.20117E+00
-9.94080000E-02,-1.18164E+00
-9.93987600E-02,-1.20117E+00
-9.93895200E-02,-1.14258E+00
-9.93802800E-02,-1.22070E+00
-9.93710400E-02,-1.16211E+00
-9.93618000E-02,-1.14258E+00
-9.93525600E-02,-1.14258E+00
-9.93433200E-02,-1.16211E+00
-9.93340800E-02,-1.16211E+00
-9.93248400E-02,-1.20117E+00
-9.93156000E-02,-1.20117E+00
-9.93063600E-02,-1.20117E+00
-9.92971200E-02,-1.18164E+00
-9.92878800E-02,-1.20117E+00
-9.92786400E-02,-1.22070E+00
-9.92694000E-02,-1.18164E+00
-9.92601600E-02,-1.18164E+00
-9.92509200E-02,-1.24023E+00
-9.92416800E-02,-1.18164E+00
-9.92324400E-02,-1.20117E+00
-9.92232000E-02,-1.20117E+00
-9.92139600E-02,-1.14258E+00
-9.92047200E-02,-1.16211E+00
-9.91954800E-02,-1.16211E+00
-9.91862400E-02,-1.20117E+00
-9.91770000E-02,-1.16211E+00
-9.91677600E-02,-1.22070E+00
-9.91585200E-02,-1.20117E+00
-9.91492800E-02,-1.22070E+00
-9.91400400E-02,-1.27930E+00
-9.91308000E-02,-1.25977E+00
-9.91215600E-02,-1.18164E+00
-9.91123200E-02,-1.20117E+00
-9.91030800E-02,-1.22070E+00
-9.90938400E-02,-1.20117E+00
-9.90846000E-02,-1.18164E+00
-9.90753600E-02,-1.20117E+00
-9.90661200E-02,-1.22070E+00
-9.90568800E-02,-1.16211E+00
-9.90476400E-02,-1.22070E+00
-9.90384000E-02,-1.20117E+00
-9.90291600E-02,-1.16211E+00
-9.90199200E-02,-1.22070E+00
-9.90106800E-02,-1.18164E+00
-9.90014400E-02,-1.18164E+00
-9.89922000E-02,-1.18164E+00
-9.89829600E-02,-1.20117E+00
-9.89737200E-02,-1.20117E+00
-9.89644800E-02,-1.10352E+00
-9.89552400E-02,-1.18164E+00
-9.89460000E-02,-1.22070E+00
-9.89367600E-02,-1.16211E+00
-9.89275200E-02,-1.18164E+00
-9.89182800E-02,-1.14258E+00
-9.89090400E-02,-1.20117E+00
-9.88998000E-02,-1.20117E+00
-9.88905600E-02,-1.20117E+00
-9.88813200E-02,-1.18164E+00
-9.88720800E-02,-1.16211E+00
-9.88628400E-02,-1.18164E+00
-9.88536000E-02,-1.16211E+00
-9.88443600E-02,-1.22070E+00
-9.88351200E-02,-1.20117E+00
-9.88258800E-02,-1.18164E+00
-9.88166400E-02,-1.16211E+00
-9.88074000E-02,-1.14258E+00
-9.87981600E-02,-1.18164E+00
-9.87889200E-02,-1.22070E+00
-9.87796800E-02,-1.16211E+00
-9.87704400E-02,-1.18164E+00
-9.87612000E-02,-1.20117E+00
-9.87519600E-02,-1.22070E+00
-9.87427200E-02,-1.18164E+00
-9.87334800E-02,-1.20117E+00
-9.87242400E-02,-1.18164E+00
-9.87150000E-02,-1.18164E+00
-9.87057600E-02,-1.14258E+00
-9.86965200E-02,-1.24023E+00
-9.86872800E-02,-1.20117E+00
-9.86780400E-02,-1.18164E+00
-9.86688000E-02,-1.16211E+00
-9.86595600E-02,-1.18164E+00
-9.86503200E-02,-1.22070E+00
-9.86410800E-02,-1.18164E+00
-9.86318400E-02,-1.20117E+00
-9.86226000E-02,-1.24023E+00
-9.86133600E-02,-1.16211E+00
-9.86041200E-02,-1.16211E+00
-9.85948800E-02,-1.16211E+00
-9.85856400E-02,-1.22070E+00
-9.85764000E-02,-1.18164E+00
-9.85671600E-02,-1.16211E+00
-9.85579200E-02,-1.12305E+00
-9.85486800E-02,-1.22070E+00
-9.85394400E-02,-1.16211E+00
-9.85302000E-02,-1.22070E+00
-9.85209600E-02,-1.12305E+00
-9.85117200E-02,-1.14258E+00
-9.85024800E-02,-1.22070E+00
-9.84932400E-02,-1.18164E+00
-9.84840000E-02,-1.22070E+00
-9.84747600E-02,-1.24023E+00
-9.84655200E-02,-1.20117E+00
-9.84562800E-02,-1.22070E+00
-9.84470400E-02,-1.14258E+00
-9.84378000E-02,-1.24023E+00
-9.84285600E-02,-1.18164E+00
-9.84193200E-02,-1.14258E+00
-9.84100800E-02,-1.25977E+00
-9.84008400E-02,-1.25977E+00
-9.83916000E-02,-1.20117E+00
-9.83823600E-02,-1.14258E+00
-9.83731200E-02,-1.18164E+00
-9.83638800E-02,-1.18164E+00
-9.83546400E-02,-1.22070E+00
-9.83454000E-02,-1.24023E+00
-9.83361600E-02,-1.22070E+00
-9.83269200E-02,-1.27930E+00
-9.83176800E-02,-1.20117E+00
-9.83084400E-02,-1.18164E+00
-9.82992000E-02,-1.22070E+00
-9.82899600E-02,-1.27930E+00
-9.82807200E-02,-1.18164E+00
-9.82714800E-02,-1.22070E+00
-9.82622400E-02,-1.24023E+00
-9.82530000E-02,-1.20117E+00
-9.82437600E-02,-1.20117E+00
-9.82345200E-02,-1.22070E+00
-9.82252800E-02,-1.14258E+00
-9.82160400E-02,-1.25977E+00
-9.82068000E-02,-1.24023E+00
-9.81975600E-02,-1.20117E+00
-9.81883200E-02,-1.20117E+00
-9.81790800E-02,-1.25977E+00
-9.81698400E-02,-1.27930E+00
-9.81606000E-02,-1.22070E+00
-9.81513600E-02,-1.12305E+00
-9.81421200E-02,-1.24023E+00
-9.81328800E-02,-1.20117E+00
-9.81236400E-02,-1.24023E+00
-9.81144000E-02,-1.22070E+00
-9.81051600E-02,-1.24023E+00
-9.80959200E-02,-1.24023E+00
-9.80866800E-02,-1.29883E+00
-9.80774400E-02,-1.22070E+00
-9.80682000E-02,-1.20117E+00
-9.80589600E-02,-1.22070E+00
-9.80497200E-02,-1.25977E+00
-9.80404800E-02,-1.20117E+00
-9.80312400E-02,-1.25977E+00
-9.80220000E-02,-1.22070E+00
-9.80127600E-02,-1.25977E+00
-9.80035200E-02,-1.20117E+00
-9.79942800E-02,-1.24023E+00
-9.79850400E-02,-1.20117E+00
-9.79758000E-02,-1.20117E+00
-9.79665600E-02,-1.16211E+00
-9.79573200E-02,-1.24023E+00
-9.79480800E-02,-1.24023E+00
-9.79388400E-02,-1.20117E+00
-9.79296000E-02,-1.22070E+00
-9.79203600E-02,-1.18164E+00
-9.79111200E-02,-1.22070E+00
-9.79018800E-02,-1.20117E+00
-9.78926400E-02,-1.27930E+00
-9.78834000E-02,-1.22070E+00
-9.78741600E-02,-1.22070E+00
-9.78649200E-02,-1.24023E+00
-9.78556800E-02,-1.24023E+00
-9.78464400E-02,-1.29883E+00
-9.78372000E-02,-1.20117E+00
-9.78279600E-02,-1.29883E+00
-9.78187200E-02,-1.20117E+00
-9.78094800E-02,-1.18164E+00
-9.78002400E-02,-1.25977E+00
-9.77910000E-02,-1.27930E+00
-9.77817600E-02,-1.25977E+00
-9.77725200E-02,-1.27930E+00
-9.77632800E-02,-1.22070E+00
-9.77540400E-02,-1.22070E+00
-9.77448000E-02,-1.25977E+00
-9.77355600E-02,-1.24023E+00
-9.77263200E-02,-1.27930E+00
-9.77170800E-02,-1.22070E+00
-9.77078400E-02,-1.18164E+00
-9.76986000E-02,-1.22070E+00
-9.76893600E-02,-1.20117E+00
-9.76801200E-02,-1.22070E+00
-9.76708800E-02,-1.22070E+00
-9.76616400E-02,-1.27930E+00
-9.76524000E-02,-1.22070E+00
-9.76431600E-02,-1.22070E+00
-9.76339200E-02,-1.16211E+00
-9.76246800E-02,-1.25977E+00
-9.76154400E-02,-1.22070E+00
-9.76062000E-02,-1.20117E+00
-9.75969600E-02,-1.18164E+00
-9.75877200E-02,-1.25977E+00
-9.75784800E-02,-1.25977E+00
-9.75692400E-02,-1.22070E+00
-9.75600000E-02,-1.22070E+00
-9.75507600E-02,-1.25977E+00
-9.75415200E-02,-1.22070E+00
-9.75322800E-02,-1.22070E+00
-9.75230400E-02,-1.16211E+00
-9.75138000E-02,-1.20117E+00
-9.75045600E-02,-1.20117E+00
-9.74953200E-02,-1.24023E+00
-9.74860800E-02,-1.20117E+00
-9.74768400E-02,-1.29883E+00
-9.74676000E-02,-1.27930E+00
-9.74583600E-02,-1.22070E+00
-9.74491200E-02,-1.22070E+00
-9.74398800E-02,-1.24023E+00
-9.74306400E-02,-1.18164E+00
-9.74214000E-02,-1.27930E+00
-9.74121600E-02,-1.22070E+00
-9.74029200E-02,-1.24023E+00
-9.73936800E-02,-1.22070E+00
-9.73844400E-02,-1.20117E+00
-9.73752000E-02,-1.24023E+00
-9.73659600E-02,-1.29883E+00
-9.73567200E-02,-1.29883E+00
-9.73474800E-02,-1.24023E+00
-9.73382400E-02,-1.24023E+00
-9.73290000E-02,-1.22070E+00
-9.73197600E-02,-1.22070E+00
-9.73105200E-02,-1.29883E+00
-9.73012800E-02,-1.29883E+00
-9.72920400E-02,-1.29883E+00
-9.72828000E-02,-1.22070E+00
-9.72735600E-02,-1.18164E+00
-9.72643200E-02,-1.18164E+00
-9.72550800E-02,-1.22070E+00
-9.72458400E-02,-1.27930E+00
-9.72366000E-02,-1.22070E+00
-9.72273600E-02,-1.29883E+00
-9.72181200E-02,-1.25977E+00
-9.72088800E-02,-1.20117E+00
-9.71996400E-02,-1.24023E+00
-9.71904000E-02,-1.24023E+00
-9.71811600E-02,-1.24023E+00
-9.71719200E-02,-1.27930E+00
-9.71626800E-02,-1.24023E+00
-9.71534400E-02,-1.22070E+00
-9.71442000E-02,-1.29883E+00
-9.71349600E-02,-1.27930E+00
